x,y,beta,gamma,rx,ry
0,0,0.980731,1.95683,0.242566,0.296546
0,1,0.991299,1.98368,0.247385,0.296144
0,2,1.00391,2.01574,0.253128,0.295688
0,3,1.02119,2.06574,0.262369,0.294766
0,4,1.04366,2.12158,0.272546,0.294339
0,5,1.06435,2.16803,0.281115,0.294435
0,6,1.08315,2.22291,0.291491,0.293741
0,7,1.1101,2.29404,0.305016,0.293446
0,8,1.14027,2.36189,0.317824,0.293844
0,9,1.16519,2.40825,0.326588,0.294802
0,10,1.18905,2.45612,0.335859,0.29554
0,11,1.21385,2.50763,0.345928,0.296293
0,12,1.23408,2.5605,0.356451,0.296479
0,13,1.25134,2.6126,0.366997,0.296485
0,14,1.26761,2.66804,0.378217,0.296652
0,15,1.28296,2.71912,0.388555,0.296882
0,16,1.30327,2.74967,0.394525,0.297808
0,17,1.31332,2.77858,0.400409,0.298107
1,0,0.956146,1.91758,0.236219,0.295256
1,1,0.97066,1.95036,0.24193,0.295125
1,2,0.987064,1.99127,0.249201,0.294681
1,3,1.00684,2.0447,0.25888,0.29388
1,4,1.0296,2.10287,0.269432,0.293311
1,5,1.05377,2.15393,0.278739,0.293747
1,6,1.07168,2.21514,0.290348,0.292559
1,7,1.10086,2.29019,0.304608,0.292443
1,8,1.12882,2.3581,0.317501,0.292639
1,9,1.15175,2.40866,0.327142,0.293179
1,10,1.17326,2.46052,0.337298,0.293572
1,11,1.1972,2.51344,0.347647,0.294408
1,12,1.22008,2.57116,0.359087,0.294979
1,13,1.23901,2.62719,0.370341,0.295318
1,14,1.25732,2.68498,0.382007,0.29573
1,15,1.27809,2.73938,0.392928,0.296451
1,16,1.29707,2.77797,0.4006,0.297272
1,17,1.31002,2.8012,0.405186,0.297785
2,0,0.924382,1.86119,0.226877,0.29414
2,1,0.938752,1.89333,0.232412,0.294047
2,2,0.958729,1.93931,0.240366,0.293833
2,3,0.980958,2.00041,0.251403,0.292846
2,4,1.00563,2.06443,0.262949,0.292189
2,5,1.02981,2.12585,0.274193,0.29189
2,6,1.05599,2.19892,0.287873,0.291334
2,7,1.08741,2.28449,0.304018,0.290959
2,8,1.11364,2.34948,0.316233,0.291085
2,9,1.13292,2.40599,0.327284,0.291108
2,10,1.15335,2.46227,0.338267,0.291345
2,11,1.17595,2.5246,0.350611,0.291945
2,12,1.19921,2.58874,0.363332,0.292675
2,13,1.22102,2.6509,0.375734,0.293433
2,14,1.24196,2.70971,0.387548,0.294325
2,15,1.26503,2.76198,0.397972,0.295479
2,16,1.28642,2.80259,0.405996,0.296603
2,17,1.30348,2.82809,0.410998,0.297545
3,0,0.895883,1.80464,0.217489,0.293743
3,1,0.905396,1.82854,0.221584,0.293419
3,2,0.922244,1.87285,0.22939,0.292748
3,3,0.947037,1.93881,0.241035,0.291769
3,4,0.974376,2.01235,0.254049,0.29073
3,5,1.00058,2.08265,0.266848,0.290135
3,6,1.02955,2.1656,0.282369,0.289456
3,7,1.06429,2.26101,0.300228,0.28908
3,8,1.09311,2.33639,0.314395,0.289174
3,9,1.11389,2.40422,0.327653,0.289017
3,10,1.13489,2.47052,0.340661,0.289145
3,11,1.15769,2.53831,0.354035,0.289737
3,12,1.18217,2.60564,0.367323,0.29077
3,13,1.20637,2.67434,0.381036,0.291996
3,14,1.22692,2.72812,0.391747,0.29305
3,15,1.24813,2.77498,0.401095,0.294387
3,16,1.2714,2.81887,0.409773,0.295887
3,17,1.29025,2.85457,0.416852,0.297114
4,0,0.866636,1.74386,0.207697,0.293693
4,1,0.875274,1.76643,0.211424,0.293263
4,2,0.889053,1.80759,0.218524,0.292167
4,3,0.913367,1.87194,0.229775,0.291181
4,4,0.944598,1.95947,0.245358,0.289745
4,5,0.972655,2.04178,0.260093,0.288367
4,6,1.00249,2.1272,0.275867,0.287671
4,7,1.0368,2.22238,0.293471,0.287248
4,8,1.06627,2.31602,0.31142,0.286877
4,9,1.09267,2.40414,0.328483,0.286701
4,10,1.1136,2.47735,0.342863,0.286785
4,11,1.13946,2.54953,0.356965,0.287804
4,12,1.16705,2.62312,0.371466,0.289334
4,13,1.19356,2.69575,0.385863,0.290901
4,14,1.21266,2.74687,0.396043,0.292165
4,15,1.22913,2.78745,0.40414,0.293379
4,16,1.24796,2.82677,0.411944,0.294757
4,17,1.26346,2.85167,0.416848,0.295822
5,0,0.83373,1.67252,0.196253,0.293973
5,1,0.845368,1.69954,0.200486,0.293728
5,2,0.856361,1.73865,0.207448,0.292137
5,3,0.875512,1.79725,0.217725,0.290522
5,4,0.908,1.8889,0.233771,0.288869
5,5,0.945118,1.9895,0.251263,0.287533
5,6,0.975552,2.08319,0.268356,0.286198
5,7,1.00639,2.17507,0.285243,0.285445
5,8,1.04034,2.2843,0.306173,0.285259
5,9,1.07362,2.40234,0.328985,0.284891
