x,y,beta,gamma,rx,ry
0,0,0.975966,1.95289,0.242093,0.295961
0,1,0.986285,1.97814,0.246599,0.295709
0,2,1.00149,2.01489,0.253193,0.295404
0,3,1.01727,2.06396,0.262272,0.294262
0,4,1.03917,2.11702,0.271942,0.29399
0,5,1.0607,2.16375,0.280471,0.2942
0,6,1.07954,2.21943,0.291017,0.2935
0,7,1.10703,2.29079,0.304573,0.293284
0,8,1.13628,2.35693,0.317023,0.29365
0,9,1.16062,2.40497,0.326113,0.294442
0,10,1.18302,2.45299,0.335433,0.29504
0,11,1.20803,2.50731,0.346074,0.295757
0,12,1.22934,2.56076,0.356663,0.296097
0,13,1.24662,2.61207,0.367014,0.296195
0,14,1.26134,2.66494,0.377729,0.296308
0,15,1.28078,2.71151,0.387024,0.296869
0,16,1.29704,2.74114,0.392882,0.297543
0,17,1.30332,2.76693,0.39814,0.297642
1,0,0.952294,1.91344,0.235687,0.294883
1,1,0.965085,1.94442,0.241138,0.29461
1,2,0.982553,1.98873,0.249014,0.2941
1,3,1.00159,2.04011,0.25825,0.293318
1,4,1.02292,2.09523,0.268269,0.292812
1,5,1.04639,2.14955,0.278235,0.292911
1,6,1.06878,2.212,0.289946,0.292375
1,7,1.09787,2.28475,0.303692,0.29237
1,8,1.12517,2.35097,0.316235,0.29258
1,9,1.14869,2.40399,0.32634,0.293084
1,10,1.17032,2.45655,0.3366,0.293482
1,11,1.19463,2.51408,0.347897,0.29424
1,12,1.21745,2.57314,0.359599,0.294795
1,13,1.23627,2.62921,0.370854,0.295157
1,14,1.25446,2.68448,0.381986,0.295595
1,15,1.2744,2.7326,0.391604,0.296315
1,16,1.29125,2.76615,0.39826,0.297032
1,17,1.30458,2.78809,0.402578,0.297588
2,0,0.923367,1.86212,0.227252,0.293868
2,1,0.936881,1.89488,0.23293,0.293569
2,2,0.957353,1.94382,0.24146,0.293221
2,3,0.979314,2.00241,0.251975,0.292429
2,4,1.00309,2.0638,0.263062,0.29189
2,5,1.02765,2.12672,0.274585,0.291561
2,6,1.05475,2.19887,0.288027,0.291206
2,7,1.0854,2.27836,0.302933,0.291062
2,8,1.11188,2.34335,0.315118,0.291233
2,9,1.13272,2.40059,0.326231,0.2914
2,10,1.15424,2.45845,0.337502,0.291715
2,11,1.17838,2.52524,0.35072,0.292353
2,12,1.20146,2.5904,0.363653,0.293002
2,13,1.22258,2.65182,0.375927,0.293688
2,14,1.24241,2.70745,0.387085,0.294464
2,15,1.26312,2.75432,0.39642,0.295446
2,16,1.28198,2.78965,0.403394,0.296406
2,17,1.29695,2.81119,0.407596,0.297216
3,0,0.892782,1.80222,0.21738,0.293362
3,1,0.903514,1.83004,0.222162,0.29293
3,2,0.921029,1.87583,0.230212,0.292275
3,3,0.94522,1.93878,0.241325,0.291505
3,4,0.972672,2.01158,0.254264,0.29066
3,5,0.999767,2.08504,0.267667,0.290016
3,6,1.03069,2.16876,0.283139,0.289556
3,7,1.06493,2.25789,0.299697,0.289453
3,8,1.09404,2.33228,0.313617,0.28962
3,9,1.11649,2.39983,0.326725,0.289664
3,10,1.13893,2.46727,0.339906,0.289903
3,11,1.16368,2.54042,0.354342,0.290553
3,12,1.18738,2.60798,0.367709,0.291412
3,13,1.21022,2.67315,0.380722,0.292468
3,14,1.22948,2.72573,0.39121,0.293356
3,15,1.24926,2.76961,0.399954,0.294529
3,16,1.26992,2.8064,0.407202,0.295796
3,17,1.28839,2.83512,0.412831,0.296903
4,0,0.861321,1.7388,0.207203,0.293056
4,1,0.871542,1.76548,0.211636,0.292577
4,2,0.885828,1.80642,0.218703,0.291626
4,3,0.909125,1.86757,0.22944,0.29081
4,4,0.940511,1.95292,0.24461,0.28969
4,5,0.971589,2.04014,0.260174,0.288537
4,6,1.0038,2.13048,0.276731,0.287866
4,7,1.04091,2.22688,0.294466,0.287856
4,8,1.07157,2.3181,0.311794,0.2877
4,9,1.0987,2.40216,0.327974,0.287747
4,10,1.12196,2.47699,0.34256,0.287967
4,11,1.14916,2.55541,0.357945,0.28896
4,12,1.17462,2.62692,0.372074,0.290185
4,13,1.19805,2.69241,0.385081,0.291459
4,14,1.21725,2.74359,0.395266,0.29262
4,15,1.233,2.78344,0.403226,0.293684
4,16,1.25007,2.81718,0.409904,0.294858
4,17,1.26354,2.83984,0.414376,0.295765
5,0,0.830132,1.67321,0.196716,0.293056
5,1,0.84112,1.70088,0.201159,0.292614
5,2,0.851279,1.73755,0.207649,0.291087
5,3,0.871413,1.79349,0.217469,0.290071
5,4,0.905367,1.88403,0.233307,0.288953
5,5,0.944558,1.98736,0.251294,0.2879
5,6,0.979889,2.08925,0.269834,0.286976
5,7,1.01565,2.1943,0.289208,0.286371
5,8,1.05062,2.3043,0.310046,0.286069
5,9,1.081,2.40758,0.329872,0.285814
5,10,1.10316,2.48642,0.34521,0.285847
5,11,1.13179,2.57003,0.361588,0.287272
5,12,1.15904,2.64743,0.376857,0.288886
5,13,1.18264,2.71335,0.389911,0.290442
5,14,1.20065,2.76336,0.399832,0.291729
5,15,1.2137,2.7999,0.407108,0.292748
5,16,1.22613,2.83133,0.41338,0.2939
5,17,1.23629,2.8532,0.417722,0.294793
6,0,0.799558,1.60662,0.18627,0.293339
6,1,0.807849,1.63259,0.190567,0.292406
6,2,0.815041,1.66462,0.196149,0.290589
6,3,0.830736,1.71078,0.204211,0.289477
6,4,0.860757,1.79213,0.21844,0.288365
6,5,0.903997,1.90692,0.238465,0.287296
6,6,0.950037,2.03637,0.261462,0.286171
6,7,0.992619,2.16144,0.283917,0.285126
6,8,1.03101,2.28862,0.308012,0.284742
6,9,1.06537,2.41128,0.331445,0.284324
6,10,1.09167,2.50064,0.348672,0.28478
6,11,1.11861,2.59044,0.366334,0.286166
6,12,1.14327,2.66804,0.381669,0.287716
6,13,1.16672,2.73084,0.394023,0.289423
6,14,1.18598,2.77849,0.403372,0.290964
6,15,1.19789,2.81697,0.411065,0.292222
6,16,1.20964,2.85178,0.417993,0.293498
6,17,1.21584,2.87651,0.423008,0.294398
7,0,0.76985,1.53726,0.175718,0.294224
7,1,0.775574,1.56152,0.179746,0.292762
7,2,0.77959,1.58758,0.184325,0.290766
7,3,0.788809,1.62688,0.191306,0.288754
7,4,0.810732,1.68825,0.201965,0.287725
7,5,0.849093,1.79296,0.220252,0.286613
7,6,0.903414,1.94457,0.246832,0.285356
7,7,0.959389,2.10817,0.275948,0.284231
7,8,1.00809,2.26281,0.304371,0.283591
7,9,1.04834,2.40134,0.330476,0.283444
7,10,1.07812,2.51268,0.351887,0.283802
7,11,1.10452,2.61337,0.371632,0.285039
7,12,1.12536,2.68559,0.385896,0.286451
7,13,1.14604,2.74218,0.396998,0.288254
7,14,1.16587,2.79201,0.406764,0.290156
7,15,1.1802,2.83437,0.41515,0.291756
7,16,1.19344,2.87225,0.422659,0.29331
7,17,1.20634,2.90276,0.428684,0.294648
8,0,0.733086,1.46567,0.165864,0.293625
8,1,0.736512,1.48301,0.168713,0.292405
8,2,0.738949,1.50306,0.17225,0.290649
8,3,0.744803,1.53176,0.177286,0.288897
8,4,0.761958,1.58498,0.186394,0.287465
8,5,0.796742,1.68044,0.202482,0.286115
8,6,0.853639,1.83921,0.230165,0.284896
8,7,0.922739,2.03738,0.264727,0.283439
8,8,0.986547,2.2285,0.298992,0.282756
8,9,1.03537,2.39118,0.329275,0.28279
8,10,1.06932,2.52608,0.355169,0.283296
8,11,1.09264,2.63141,0.375813,0.284272
8,12,1.10838,2.69836,0.389112,0.285566
8,13,1.12485,2.7521,0.399701,0.287282
8,14,1.14146,2.80187,0.409507,0.289243
8,15,1.15711,2.8458,0.418136,0.291139
8,16,1.16868,2.87902,0.424681,0.292563
8,17,1.17815,2.90077,0.428891,0.293612
9,0,0.686381,1.36814,0.153054,0.293759
9,1,0.690935,1.38567,0.155787,0.292759
9,2,0.689299,1.40153,0.158653,0.290336
9,3,0.693911,1.42478,0.162362,0.288734
9,4,0.707407,1.47025,0.169916,0.287069
9,5,0.739194,1.55593,0.184434,0.286104
9,6,0.796347,1.71391,0.211294,0.284815
9,7,0.873901,1.93341,0.248717,0.283325
9,8,0.951972,2.17051,0.290913,0.28282
9,9,1.01687,2.38651,0.330237,0.282718
9,10,1.0588,2.54313,0.359427,0.282883
9,11,1.07959,2.65294,0.38083,0.283951
9,12,1.08898,2.71936,0.394168,0.284918
9,13,1.09816,2.76854,0.403914,0.28634
9,14,1.10858,2.81389,0.41293,0.28817
9,15,1.12075,2.85435,0.420876,0.290039
9,16,1.13115,2.88487,0.426821,0.291496
9,17,1.13639,2.90356,0.430482,0.292364
10,0,0.634771,1.26909,0.141284,0.292835
10,1,0.635912,1.28247,0.143744,0.291413
10,2,0.636156,1.29701,0.145841,0.28956
10,3,0.638254,1.31764,0.148865,0.287491
10,4,0.65073,1.35159,0.154328,0.286894
10,5,0.675224,1.41772,0.165223,0.286085
10,6,0.723988,1.55358,0.187791,0.284923
10,7,0.803731,1.78213,0.226354,0.283763
10,8,0.899219,2.07238,0.276775,0.283027
10,9,0.984094,2.35721,0.3275,0.282731
10,10,1.03603,2.55648,0.363821,0.282849
10,11,1.05749,2.68131,0.387653,0.283656
10,12,1.06248,2.74319,0.400004,0.284417
10,13,1.06617,2.79049,0.409424,0.28551
10,14,1.06903,2.8305,0.417499,0.287022
10,15,1.07282,2.86561,0.424494,0.28867
10,16,1.07861,2.89422,0.430081,0.290122
10,17,1.08292,2.91338,0.43376,0.291142
11,0,0.548617,1.10418,0.12504,0.291428
11,1,0.552868,1.12047,0.126638,0.290367
11,2,0.559615,1.1419,0.128964,0.289345
11,3,0.567895,1.16784,0.131802,0.288158
11,4,0.580111,1.20173,0.136017,0.287167
11,5,0.601878,1.25953,0.144752,0.286273
11,6,0.642544,1.37279,0.162138,0.284883
11,7,0.718614,1.59317,0.198787,0.284155
11,8,0.826651,1.92764,0.255964,0.283396
11,9,0.934644,2.29831,0.320556,0.282867
11,10,1.00109,2.56723,0.368484,0.282741
11,11,1.02672,2.71421,0.395753,0.283183
11,12,1.02912,2.76999,0.406692,0.283647
11,13,1.02718,2.81155,0.414991,0.28454
11,14,1.02099,2.84655,0.422204,0.285973
11,15,1.01644,2.87843,0.428708,0.287366
11,16,1.01726,2.9034,0.433622,0.288684
11,17,1.0196,2.92342,0.437446,0.289872
12,0,0.446826,0.902224,0.10523,0.290807
12,1,0.456469,0.924587,0.106964,0.290413
12,2,0.472448,0.961263,0.109955,0.289769
12,3,0.491204,1.00447,0.113392,0.288947
12,4,0.508435,1.04767,0.118267,0.287947
12,5,0.533921,1.11152,0.126597,0.286867
12,6,0.571275,1.21406,0.141027,0.285303
12,7,0.638061,1.41336,0.173682,0.2847
12,8,0.746011,1.76123,0.232451,0.283875
12,9,0.873862,2.21417,0.309949,0.283066
12,10,0.959046,2.56269,0.370636,0.282677
12,11,0.992113,2.73764,0.402102,0.283021
12,12,0.993487,2.79352,0.412771,0.283099
12,13,0.986867,2.83319,0.420624,0.284069
12,14,0.973827,2.8636,0.42709,0.285135
12,15,0.966104,2.88991,0.432503,0.286334
12,16,0.962894,2.90985,0.436471,0.28742
12,17,0.958982,2.92199,0.43891,0.288091
13,0,0.351029,0.707449,0.0878499,0.291085
13,1,0.368783,0.744678,0.0897171,0.290774
13,2,0.394475,0.797796,0.0939147,0.290582
13,3,0.42013,0.853781,0.0984119,0.289909
13,4,0.445115,0.908842,0.103279,0.289233
13,5,0.471108,0.973443,0.111107,0.28792
13,6,0.504509,1.06492,0.123368,0.286353
13,7,0.561003,1.24273,0.151706,0.285435
13,8,0.659996,1.57815,0.207396,0.284398
13,9,0.800331,2.09473,0.29405,0.283283
13,10,0.90169,2.53081,0.368464,0.282607
13,11,0.944729,2.74845,0.406509,0.282879
13,12,0.94636,2.81226,0.418242,0.28305
13,13,0.936833,2.85575,0.426727,0.283539
13,14,0.92081,2.87899,0.431825,0.284277
13,15,0.91278,2.90006,0.436128,0.285491
13,16,0.905178,2.91703,0.439562,0.286466
13,17,0.898109,2.92756,0.441727,0.286901
14,0,0.270854,0.545553,0.074946,0.291246
14,1,0.294866,0.594491,0.0780792,0.291082
14,2,0.326856,0.657675,0.0821752,0.291237
14,3,0.359659,0.72373,0.0864852,0.291193
14,4,0.388657,0.787294,0.0920701,0.290418
14,5,0.412646,0.847488,0.0985436,0.288849
14,6,0.436885,0.917578,0.107745,0.287236
14,7,0.486137,1.07676,0.131502,0.285925
14,8,0.575941,1.39093,0.182267,0.284779
14,9,0.721104,1.94873,0.274047,0.283496
14,10,0.833626,2.47715,0.362878,0.282603
14,11,0.882763,2.74845,0.409442,0.282736
14,12,0.883023,2.83017,0.424093,0.282862
14,13,0.873325,2.87788,0.433111,0.283163
14,14,0.8567,2.89462,0.436864,0.283893
14,15,0.841662,2.91085,0.440416,0.284731
14,16,0.836942,2.92493,0.443159,0.285643
14,17,0.840263,2.93629,0.445083,0.286477
15,0,0.218075,0.440659,0.0677095,0.29112
15,1,0.241714,0.488035,0.0705457,0.29107
15,2,0.276585,0.552855,0.074089,0.291886
15,3,0.311699,0.620389,0.0784017,0.292366
15,4,0.338754,0.682943,0.0835854,0.291017
15,5,0.360876,0.739429,0.0883378,0.289137
15,6,0.378005,0.792326,0.0940221,0.287108
15,7,0.417395,0.923563,0.112893,0.285877
15,8,0.495006,1.2069,0.157745,0.284878
15,9,0.639811,1.79235,0.252699,0.283612
15,10,0.75905,2.41698,0.356603,0.282575
15,11,0.816335,2.74671,0.412302,0.282643
15,12,0.817491,2.84705,0.429804,0.282688
15,13,0.805266,2.89901,0.439428,0.282813
15,14,0.776866,2.91076,0.442545,0.283375
15,15,0.750316,2.92253,0.445604,0.283796
15,16,0.744904,2.93167,0.447424,0.284601
15,17,0.759513,2.93759,0.447985,0.285204
