x,y,beta,gamma,rx,ry
0,0,0.973223,1.94859,0.241401,0.295779
0,1,0.987751,1.97469,0.245808,0.29629
0,2,1.00354,2.00839,0.251764,0.296334
0,3,1.01921,2.05835,0.261048,0.295078
0,4,1.04239,2.11271,0.270922,0.29491
0,5,1.06308,2.16583,0.280813,0.294532
0,6,1.08378,2.22921,0.292846,0.293585
0,7,1.11115,2.30137,0.30653,0.293258
0,8,1.1385,2.36434,0.318452,0.293558
0,9,1.16405,2.41356,0.327808,0.294462
0,10,1.1893,2.45842,0.336372,0.295515
0,11,1.20853,2.50449,0.345412,0.295977
0,12,1.22551,2.55815,0.35619,0.295858
0,13,1.24348,2.61169,0.366976,0.29593
0,14,1.25896,2.66692,0.378181,0.296079
0,15,1.28018,2.71935,0.388674,0.296715
0,16,1.29869,2.75436,0.3956,0.29748
0,17,1.30877,2.77773,0.400259,0.297792
1,0,0.948396,1.90705,0.234582,0.294669
1,1,0.965855,1.9425,0.240667,0.294905
1,2,0.984901,1.98671,0.24846,0.2947
1,3,1.00365,2.03723,0.257565,0.293942
1,4,1.02541,2.09399,0.267934,0.293393
1,5,1.04805,2.15345,0.278965,0.293023
1,6,1.07161,2.22156,0.291796,0.292318
1,7,1.10115,2.29798,0.306288,0.292188
1,8,1.12736,2.36359,0.318772,0.292309
1,9,1.15023,2.41604,0.328815,0.292781
1,10,1.17108,2.46438,0.338204,0.293292
1,11,1.192,2.51695,0.348539,0.29387
1,12,1.21157,2.57324,0.359745,0.294193
1,13,1.22994,2.62901,0.37094,0.294524
1,14,1.25033,2.68722,0.382642,0.295149
1,15,1.27395,2.74292,0.393771,0.29611
1,16,1.29403,2.78313,0.401744,0.297015
1,17,1.30588,2.80511,0.406077,0.297529
2,0,0.920107,1.85819,0.226496,0.293538
2,1,0.935888,1.89115,0.232204,0.293686
2,2,0.957721,1.94073,0.240824,0.293545
2,3,0.979467,1.99941,0.251367,0.292706
2,4,1.00156,2.05905,0.262169,0.292009
2,5,1.02559,2.12535,0.27442,0.291441
2,6,1.05359,2.20368,0.289089,0.290889
2,7,1.08507,2.29052,0.305479,0.290524
2,8,1.11048,2.35978,0.318621,0.290429
2,9,1.12996,2.4175,0.329868,0.290439
2,10,1.14913,2.47086,0.340256,0.290699
2,11,1.17096,2.53183,0.352287,0.291268
2,12,1.19277,2.59193,0.364176,0.29196
2,13,1.21373,2.64928,0.375565,0.292709
2,14,1.23721,2.70795,0.387303,0.293873
2,15,1.26405,2.76428,0.398495,0.295288
2,16,1.28912,2.80887,0.407268,0.296627
2,17,1.30659,2.83156,0.411626,0.297528
3,0,0.892775,1.80221,0.217297,0.293341
3,1,0.902878,1.82752,0.221685,0.293026
3,2,0.920637,1.87349,0.22979,0.292403
3,3,0.946577,1.9415,0.24178,0.291526
3,4,0.973444,2.01206,0.254188,0.290694
3,5,0.998218,2.08442,0.267542,0.289891
3,6,1.02815,2.17288,0.28409,0.289092
3,7,1.06229,2.27151,0.302617,0.288546
3,8,1.08971,2.35234,0.317965,0.288282
3,9,1.11027,2.42078,0.331307,0.288089
3,10,1.12963,2.48054,0.342947,0.288306
3,11,1.15125,2.54303,0.355204,0.28888
3,12,1.17522,2.60432,0.367256,0.290025
3,13,1.19994,2.66646,0.379563,0.291359
3,14,1.22368,2.72211,0.390602,0.292719
3,15,1.25074,2.77562,0.401195,0.29441
3,16,1.27878,2.82322,0.41054,0.296116
3,17,1.29996,2.85697,0.417158,0.29736
4,0,0.859018,1.73301,0.206197,0.293132
4,1,0.867564,1.75614,0.210104,0.292661
4,2,0.881269,1.79655,0.217135,0.291643
4,3,0.906703,1.8647,0.229143,0.290641
4,4,0.940177,1.9533,0.244673,0.289602
4,5,0.970248,2.04023,0.260238,0.288446
4,6,1.00233,2.13698,0.278119,0.287461
4,7,1.03791,2.24332,0.297924,0.28671
4,8,1.06694,2.33971,0.316348,0.286091
4,9,1.09269,2.42113,0.332034,0.286154
4,10,1.11243,2.48864,0.345202,0.286262
4,11,1.13513,2.55165,0.357459,0.287088
4,12,1.15965,2.61196,0.369318,0.288523
4,13,1.18765,2.6767,0.382026,0.29023
4,14,1.21123,2.73101,0.392786,0.291872
4,15,1.23471,2.78204,0.402915,0.293556
4,16,1.25834,2.82559,0.411496,0.295117
4,17,1.27452,2.84953,0.416154,0.296167
5,0,0.826147,1.66344,0.19504,0.293175
5,1,0.835354,1.68725,0.198925,0.292756
5,2,0.845415,1.72432,0.205482,0.291161
5,3,0.86634,1.78334,0.215791,0.290006
5,4,0.903015,1.87974,0.232526,0.288878
5,5,0.944629,1.98901,0.251467,0.287864
5,6,0.979446,2.09962,0.271815,0.286336
5,7,1.01413,2.21033,0.292265,0.285105
5,8,1.04878,2.32116,0.31339,0.284823
5,9,1.07847,2.4221,0.332752,0.284561
5,10,1.09605,2.49167,0.346393,0.284469
5,11,1.11565,2.55322,0.358414,0.285199
5,12,1.14308,2.61642,0.370785,0.287165
5,13,1.1731,2.68633,0.384508,0.289374
5,14,1.19738,2.74613,0.396332,0.291238
5,15,1.217,2.79525,0.406098,0.292811
5,16,1.23512,2.83561,0.414099,0.294282
5,17,1.24735,2.85896,0.41871,0.295252
6,0,0.796752,1.60112,0.185269,0.293224
6,1,0.805187,1.62299,0.188876,0.292816
6,2,0.812548,1.65725,0.194901,0.290798
6,3,0.830079,1.70728,0.203365,0.289627
6,4,0.859692,1.78934,0.217799,0.288376
6,5,0.904357,1.91135,0.239137,0.28703
6,6,0.950362,2.04513,0.262943,0.285535
6,7,0.991818,2.17044,0.285437,0.28418
6,8,1.03078,2.29653,0.309428,0.284019
6,9,1.06578,2.42049,0.33312,0.283604
6,10,1.08757,2.49899,0.348339,0.283816
6,11,1.10496,2.56501,0.36136,0.28438
6,12,1.13037,2.6322,0.374529,0.286292
6,13,1.15832,2.70449,0.388761,0.288572
6,14,1.18219,2.76655,0.401014,0.290636
6,15,1.19891,2.81523,0.410727,0.292288
6,16,1.21579,2.85659,0.418932,0.293877
6,17,1.22829,2.8836,0.424276,0.294993
7,0,0.768415,1.53763,0.175811,0.29375
7,1,0.771905,1.55689,0.179118,0.292346
7,2,0.776411,1.58196,0.183479,0.290596
7,3,0.790522,1.6272,0.191241,0.289125
7,4,0.812534,1.69132,0.202172,0.287724
7,5,0.849388,1.79456,0.220127,0.286377
7,6,0.900878,1.9392,0.245436,0.284943
7,7,0.95673,2.09982,0.274142,0.28402
7,8,1.00799,2.26076,0.303852,0.283477
7,9,1.0516,2.40919,0.331807,0.283204
7,10,1.07738,2.50703,0.350613,0.283182
7,11,1.09962,2.58971,0.366826,0.284293
7,12,1.11961,2.65967,0.380652,0.285677
7,13,1.14219,2.72699,0.393947,0.287838
7,14,1.16368,2.78839,0.406092,0.290032
7,15,1.17979,2.83518,0.415368,0.291808
7,16,1.19715,2.87651,0.423529,0.293591
7,17,1.21872,2.9094,0.42987,0.295293
8,0,0.730916,1.46743,0.166276,0.292781
8,1,0.73136,1.48161,0.168568,0.291153
8,2,0.734505,1.49926,0.171547,0.289877
8,3,0.746734,1.53644,0.177752,0.288758
8,4,0.767678,1.59664,0.187581,0.287298
8,5,0.799534,1.68316,0.201872,0.286006
8,6,0.846344,1.81417,0.224924,0.284962
8,7,0.910547,1.99823,0.257402,0.283772
8,8,0.97913,2.20575,0.295008,0.283192
8,9,1.03552,2.38991,0.329047,0.282953
8,10,1.06846,2.52115,0.354238,0.283319
8,11,1.09209,2.62249,0.374007,0.284215
8,12,1.10911,2.69141,0.387604,0.285497
8,13,1.12496,2.75049,0.399357,0.287309
8,14,1.14202,2.80564,0.410298,0.289342
8,15,1.15684,2.8498,0.419009,0.291246
8,16,1.16704,2.88364,0.425738,0.292672
8,17,1.17765,2.90525,0.429925,0.293754
9,0,0.68569,1.37574,0.154187,0.292532
9,1,0.687285,1.3925,0.156744,0.290816
9,2,0.690091,1.4074,0.158905,0.289677
9,3,0.701803,1.44296,0.164517,0.288464
9,4,0.720452,1.49901,0.173242,0.286682
9,5,0.750306,1.57616,0.186065,0.285972
9,6,0.792314,1.69142,0.205458,0.28485
9,7,0.855787,1.87707,0.238247,0.283882
9,8,0.937135,2.12553,0.28269,0.283226
9,9,1.00941,2.36895,0.327134,0.283012
9,10,1.05279,2.54141,0.359545,0.28327
9,11,1.07734,2.65895,0.382219,0.284114
9,12,1.0882,2.72617,0.395546,0.285044
9,13,1.09779,2.77568,0.405393,0.286541
9,14,1.10903,2.82171,0.414547,0.288429
9,15,1.12039,2.86171,0.422435,0.290251
9,16,1.12855,2.89118,0.428241,0.291563
9,17,1.13571,2.90996,0.431893,0.292527
10,0,0.632996,1.27495,0.142288,0.291523
10,1,0.640472,1.3005,0.145326,0.290162
10,2,0.644365,1.32362,0.148115,0.288077
10,3,0.655492,1.3504,0.152509,0.287829
10,4,0.670907,1.39264,0.159013,0.286836
10,5,0.69291,1.45061,0.168192,0.28609
10,6,0.72673,1.54753,0.18463,0.285073
10,7,0.788497,1.73113,0.216348,0.284109
10,8,0.881204,2.01808,0.266697,0.283347
10,9,0.972893,2.33504,0.323601,0.282991
10,10,1.02846,2.5594,0.364905,0.283118
10,11,1.05283,2.69389,0.390464,0.28376
10,12,1.05968,2.75706,0.402875,0.284358
10,13,1.06501,2.80003,0.411421,0.28569
10,14,1.06739,2.83913,0.419331,0.287281
10,15,1.07334,2.87297,0.426028,0.28893
10,16,1.0842,2.89848,0.430872,0.29041
10,17,1.08963,2.91714,0.434455,0.291499
11,0,0.542422,1.09573,0.124181,0.29085
11,1,0.560641,1.14031,0.128683,0.289798
11,2,0.578728,1.18499,0.133554,0.288729
11,3,0.588193,1.21082,0.13678,0.287936
11,4,0.599172,1.24168,0.140718,0.286956
11,5,0.616478,1.28878,0.147603,0.286044
11,6,0.644684,1.36933,0.159977,0.284914
11,7,0.704087,1.54662,0.189736,0.28432
