x,y,beta,gamma,rx,ry
0,0,0.069454,0.132741,0.0553399,0.293602
0,1,0.092022,0.186135,0.0569265,0.291931
0,2,0.122293,0.249159,0.0589024,0.29136
0,3,0.154574,0.317766,0.0613102,0.290526
0,4,0.182758,0.381394,0.0640915,0.289133
0,5,0.204003,0.430255,0.0663456,0.287938
0,6,0.225837,0.478995,0.0694407,0.287043
0,7,0.260779,0.557808,0.0745728,0.285503
0,8,0.293079,0.630968,0.0793917,0.28403
0,9,0.325669,0.693104,0.08411,0.284574
0,10,0.369651,0.774069,0.0905936,0.285792
0,11,0.417934,0.862291,0.0978573,0.287122
0,12,0.455211,0.929788,0.103262,0.287862
0,13,0.490888,0.993454,0.110297,0.285917
0,14,0.527797,1.05667,0.11718,0.279525
0,15,0.547322,1.08664,0.120375,0.268286
0,16,0.539375,1.06538,0.117868,0.251219
0,17,0.500603,0.98569,0.110793,0.224692
0,18,0.438232,0.858131,0.0966132,0.192956
0,19,0.356001,0.69728,0.081153,0.155146
0,20,0.27173,0.529502,0.0646801,0.115805
0,21,0.196124,0.380254,0.0456798,0.0803469
0,22,0.132492,0.26539,0.0339727,0.0579449
0,23,0.0912427,0.177886,0.0262668,0.0426459
0,24,0.0617057,0.116789,0.0169011,0.0303964
0,25,0.0379391,0.069176,0.00941132,0.0163299
0,26,0.021681,0.0454701,0.006676,0.0146183
0,27,0.0141787,0.0213852,0.00791646,0.0115622
0,28,0.00807342,0.0163698,0.00389633,0.0084666
0,29,0.00893323,0.0111405,0.00827715,0.00794066
0,30,0.00595458,0.00560429,0.00362096,0.000330896
0,31,0.00253249,0.0019683,0.00937669,0.00910681
0,32,0.000397598,0.00459568,0.00872281,0.00413102
0,33,0.00664545,0.000591886,0.00761079,0.00851418
0,34,0.0072,0,0.0057,0.0007
0,35,0.0003,0.0015,0.0084,0.0024
1,0,0.0964769,0.183712,0.0563387,0.293971
1,1,0.112796,0.220924,0.0576315,0.293075
1,2,0.139426,0.279428,0.0596198,0.292018
1,3,0.164979,0.336781,0.0617277,0.290794
1,4,0.187456,0.389412,0.0643009,0.289354
1,5,0.207979,0.437896,0.0668104,0.287972
1,6,0.231943,0.491004,0.070114,0.287058
1,7,0.267962,0.5718,0.0755016,0.285565
1,8,0.302684,0.650855,0.0808234,0.283932
1,9,0.338645,0.717704,0.0859297,0.28482
1,10,0.384142,0.801331,0.0929112,0.286122
1,11,0.434699,0.894048,0.100915,0.287589
1,12,0.480011,0.976228,0.108703,0.288912
1,13,0.530881,1.06784,0.118244,0.289779
1,14,0.584182,1.16241,0.128374,0.289659
1,15,0.621317,1.22666,0.135376,0.287635
1,16,0.632094,1.24232,0.137483,0.281064
1,17,0.612641,1.20158,0.133164,0.265337
1,18,0.559492,1.09442,0.121972,0.238298
1,19,0.47306,0.929323,0.105786,0.197156
1,20,0.376457,0.73462,0.0820616,0.156809
1,21,0.275431,0.543042,0.0639747,0.112203
1,22,0.194805,0.38082,0.0442734,0.074958
1,23,0.129269,0.254431,0.0290962,0.053376
1,24,0.0813549,0.16623,0.0200564,0.0328697
1,25,0.0531354,0.103047,0.0174657,0.0268757
1,26,0.0342552,0.0668177,0.0133189,0.0157751
1,27,0.0206796,0.0356969,0.00863308,0.00946373
1,28,0.0123315,0.0231509,0.00450884,0.00940384
1,29,0.00840073,0.0150478,0.010383,0.00241053
1,30,0.00967429,0.00605516,0.00159731,0.00216533
1,31,0.000793769,0.00378654,0.00706268,0.000623443
1,32,0.000630925,0.00935933,0.00245573,0.0033718
1,33,0.00372143,0.00924192,0.00202952,0.0083368
1,34,0.00790933,0.00891846,0.00320228,0.00290275
1,35,0.00310582,0.00811146,0.0064014,0.00660169
2,0,0.126775,0.241895,0.0580183,0.294271
2,1,0.142587,0.27311,0.0588401,0.294284
2,2,0.160412,0.316741,0.0605969,0.292787
2,3,0.176333,0.358788,0.0624965,0.290882
2,4,0.194918,0.401652,0.0647601,0.289811
2,5,0.215435,0.451378,0.067623,0.288219
2,6,0.241028,0.507691,0.0711047,0.287296
2,7,0.277928,0.588719,0.0768291,0.286093
2,8,0.319798,0.677509,0.0831357,0.285257
2,9,0.359077,0.754447,0.088657,0.285546
2,10,0.407747,0.844952,0.0969128,0.286794
2,11,0.464517,0.949619,0.106479,0.288369
